rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|),IQRunit,HR_IQR,HR_lci,HR_uci
pm25,0.00094058601649825,1.00094102850625,0.000283981562295752,0.00028083915503521,3.34919828533285,0.000810457718993693,3.68274558984908,1.00346994537408,1.00143782372998,1.00550619060755
no2,0.000734113457531643,1.00073438298477,8.29781071602367e-05,8.18848724792501e-05,8.96519021529489,3.09745775197915e-19,13.8357546161894,1.01020877120771,1.00796803034047,1.01245449330399
ozone_summer,9.80044546237766e-05,1.00009800925722,0.000125929868384113,0.000124855012260806,0.784946097470704,0.432485172943156,6.27696093793253,1.00061535938937,0.999079522364764,1.00215355738256
