rn,coef,IQRunit,HR_IQR,HR_lci,HR_uci
levelFALSE,-0.0005538316,3.8121763912,0.9978909234,0.9967212018,0.9990620178
levelTRUE,0.0046547571,3.8121763912,1.0179031285,1.0166969421,1.0191107458
