rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|),IQRunit,HR_IQR,HR_lci,HR_uci
pm25,0.000665937072272428,1.00066615885759,0.000276241415477584,0.000272892885441479,2.44028740872117,0.0146755809136929,3.73116092095763,1.00248780785089,1.00048915172684,1.00449045664821
no2,0.000776601819606493,1.00077690345288,8.37739822764235e-05,8.25465303072037e-05,9.40804921438012,5.05430126264279e-21,14.5586332391515,1.01137041839934,1.00899098054857,1.01375546752375
ozone_summer,0.000311595364751136,1.00031164391563,0.00011863892696452,0.000117694553160881,2.64749180299962,0.00810913256309302,6.64127630235586,1.00207153357897,1.00053751691054,1.00360790219033
