modifier,pollutant,level,HR,HR_lci,HR_uci
Sex,PM[2.5],Male,1.00898385147203,1.00766431898184,1.01030511188486
Sex,PM[2.5],Female,0.997890304076142,0.996827999205312,0.998953741029577
Sex,NO[2],Male,1.00960733245841,1.00812977826666,1.01108705221102
Sex,NO[2],Female,1.00497974563843,1.00376130184179,1.00619966847724
Sex,"Summer
ozone",Male,1.00215549920278,1.00106786249131,1.00324431760599
Sex,"Summer
ozone",Female,1.00153065107477,1.00064522741702,1.00241685820206
Sex,Ox,Male,1.00360649394535,1.00241635664363,1.00479804425952
Sex,Ox,Female,1.00511648912987,1.0041562475585,1.00607764894865
"Dual 
 elegibility",PM[2.5],FALSE,1.00541786467189,1.00432924687516,1.0065076624489
"Dual 
 elegibility",PM[2.5],TRUE,1.00581485825035,1.00453197333929,1.00709938153007
"Dual 
 elegibility",NO[2],FALSE,1.01923764569433,1.01801309783372,1.02046366653938
"Dual 
 elegibility",NO[2],TRUE,0.981111820888494,0.979661708597164,0.982564079661246
"Dual 
 elegibility","Summer
ozone",FALSE,1.00183017633563,1.00092422769222,1.00273694496413
"Dual 
 elegibility","Summer
ozone",TRUE,1.00335852548294,1.00231446390039,1.00440367461299
"Dual 
 elegibility",Ox,FALSE,1.00849498111821,1.00751981665622,1.00947108942836
"Dual 
 elegibility",Ox,TRUE,0.99581995512615,0.994663136967629,0.996978118693183
"Above median 
 population 
 density",PM[2.5],FALSE,0.9978909234,0.9967212018,0.9990620178
"Above median 
 population 
 density",PM[2.5],TRUE,1.0179031285,1.0166969421,1.0191107458
"Above median 
 population 
 density",NO[2],FALSE,1.0148332198,1.0129729459,1.01669691
"Above median 
 population 
 density",NO[2],TRUE,0.9960156932,0.9946091217,0.9974242539
"Above median 
 population 
 density","Summer
ozone",FALSE,1.0024123743,1.0014077293,1.0034180273
"Above median 
 population 
 density","Summer
ozone",TRUE,1.0015799651,1.000638379,1.0025224372
"Above median 
 population 
 density",Ox,FALSE,1.0075993873,1.0064218258,1.0087783266
"Above median 
 population 
 density",Ox,TRUE,0.997067585,0.9960255499,0.9981107102
"Entry age 
 over 85",PM[2.5],FALSE,1.00913257859489,1.00810218711751,1.01016402324586
"Entry age 
 over 85",PM[2.5],TRUE,0.994992290756781,0.99378951823825,0.996196518977657
"Entry age 
 over 85",NO[2],FALSE,1.01438829824712,1.01320369660927,1.01557428487897
"Entry age 
 over 85",NO[2],TRUE,0.993437713244468,0.992092702235897,0.994784547726398
"Entry age 
 over 85","Summer
ozone",FALSE,1.00393185085217,1.00308983771905,1.00477457078749
"Entry age 
 over 85","Summer
ozone",TRUE,0.995547090880666,0.994550621909016,0.996544558243339
"Entry age 
 over 85",Ox,FALSE,1.00737674941704,1.00643368456436,1.00832069795568
"Entry age 
 over 85",Ox,TRUE,0.995788713070674,0.994675451961393,0.996903220164557
Race,PM[2.5],Black,1.01440617360524,1.01209051702841,1.01672712838938
Race,PM[2.5],Hispanic,0.994585849065825,0.994084491916036,0.995515998076494
Race,PM[2.5],Others,0.984051258210848,0.979910523697764,0.988209489915659
Race,PM[2.5],White,0.992466350405193,0.991539050798019,0.993394517234451
Race,NO[2],Black,1.02982372994275,1.02760201041694,1.03205025292125
Race,NO[2],Hispanic,0.962449207490701,0.96149946566862,0.963478707572874
Race,NO[2],Others,0.941550956782283,0.937171107020642,0.945951275681086
Race,NO[2],White,0.982290960804795,0.981241359379337,0.98334168495418
Race,"Summer
ozone",Black,0.991278897892382,0.989471624986043,0.993089471788134
Race,"Summer
ozone",Hispanic,1.00951674507863,1.00894417857435,1.01029795456036
Race,"Summer
ozone",Others,1.00750435891189,1.00432546341212,1.01069331626607
Race,"Summer
ozone",White,1.01250995896859,1.01172703906193,1.01329348473392
Race,Ox,Black,1.01334569791913,1.01123482128904,1.01546098084541
Race,Ox,Hispanic,0.988500149433547,0.987876977110682,0.989343081809844
Race,Ox,Others,0.964324814157508,0.960751531037616,0.967911387240354
Race,Ox,White,0.992858552128862,0.992012624528962,0.993705201084002
