rn,coef,IQRunit,HR_IQR
levelBlack,0.00348673380742591,3.68274558984908,1.01292355003838
levelHispanic,0.00543718040185819,3.68274558984908,1.02022557228588
levelOthers,0.00400078113634957,3.68274558984908,1.01484293744427
levelWhite,0.00165964006950545,3.68274558984908,1.00613074872787
