"","pm25","no2","ozone_summer","ox","summer_tmmx","winter_tmmx","summer_rmax","winter_rmax","mean_bmi","smoke_rate","hispanic","pct_blk","medhouseholdincome","medianhousevalue","poverty","education","popdensity","pct_owner_occ"
"mean",10.2284766849666,19.4593838065545,44.8026705229,32.134049082148,303.133315991334,281.98277671271,88.0652650393381,84.6203127944159,27.5088842961059,0.463572620267904,0.116573340896309,0.133916319468751,53432.4794218903,201399.158488358,0.0988772628313004,0.254299358526869,3595.05810316355,0.669404014406097
"sd",2.76816427867447,9.84845146821612,5.6787554261002,3.77323842780949,3.41249474986151,7.2606624257003,10.5476803897539,7.50352423351802,0.949135757317698,0.0675899953020416,0.169679061171823,0.197397377315978,22637.1047158699,158154.293027912,0.0681985836481933,0.142260710499903,9613.03877833396,0.16485397820831
"quantile0",0.00783037998061518,0.0108124818601045,19.6975475458955,18.4062840291884,287.996203878652,260.387595943092,22.357636368793,35.7923885769314,20.7,0,0,0,0,0,0,0,0,0
"quantile25",8.3662990911423,11.7029810687278,41.783743435698,29.5926112987329,300.717139105964,276.292749050923,85.0518493397069,80.6603153643271,26.8873858921162,0.421052631578947,0.0206823407812869,0.0147827773496703,37761.5,99533.3333333333,0.0541062801932367,0.14738431729397,198.0869,0.586278299282165
"quantile50",10.1100749515066,17.6193198484876,44.7923022096741,31.8658628855638,302.953414125192,280.817912297146,90.3085797512937,85.6641162538106,27.4473943661972,0.464310464310464,0.0496297735466183,0.0490737240075614,47992,150800,0.0813283954552296,0.230333243748646,1061.12604545455,0.697852679864948
"quantile75",12.0623937531055,25.7379911984643,48.1904719516934,34.3430930133076,305.45364116994,287.462739363439,94.7273741423797,89.8319998852555,28.0707348242811,0.50398406374502,0.130318726802287,0.158923962802319,63776.3333333333,243500,0.124031007751938,0.337315167703882,3351.768,0.784942021793745
"quantile1",29.5275661737535,127.626410809231,80.7600331096028,69.6002767392648,317.073376862899,300.643172761743,100,100,43.065,1,1,1,250001,2000001,1,1,153843.502534113,1
