"HR" "HR_lci" "HR_uci"
"pm25" 1.07 1.06511158622078 1.0749108495405
"no2" 1.09 1.08362085338332 1.09641669989136
"ozone_summer" 1.02 1.01602171931856 1.02399385782598
"ox" 1.04 1.03536327306046 1.04465749186067
