"HR" "HR_lci" "HR_uci"
"pm25" 1.008 1.00545075037903 1.01055571306398
"no2" 1.013 1.00978108687291 1.0162291741647
"ozone_summer" 1.003 1.00083539308526 1.00516928852685
"ox" 1.007 1.00472071225243 1.00928445849062
