rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|),IQRunit,HR_IQR,HR_lci,HR_uci
pm25,0.0134224539776088,1.0135129395057,0.000297810361532462,0.000295836642825231,45.3711678493402,0,3.87405461435122,1.05337502597359,1.05101145253934,1.05574391474419
no2,0.00589001762678864,1.0059073978872,8.8103125863818e-05,8.74596470435109e-05,67.3455453560015,0,13.9170584557169,1.08542511315782,1.08283872818146,1.08801767577362
ozone_summer,-0.000145367649428142,0.999854642915937,0.000134174153734056,0.000133363410521823,-1.09001148710391,0.275708084008862,6.51409945013059,0.99905350888035,0.997353832626764,1.0007560816981
