rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|),IQRunit,HR_IQR,HR_lci,HR_uci
pm25,0.0171560319853378,1.0173040419116,0.00028492872452081,0.00028218845307474,60.7963642679379,0,3.9702558181839,1.07048716131264,1.06813905088974,1.07284043363142
ox,0.00615769654397897,1.00617669413112,0.000207629672700246,0.000205756021186667,29.9271754404337,8.72050086589066e-197,4.9025729414317,1.03064885112993,1.02861314934793,1.03268858171689
