rn,coef,IQRunit,HR_IQR,HR_lci,HR_uci
levelBlack,0.00231740152213387,6.51409945013059,1.01521030084304,1.01329620348609,1.01712801389369
levelHispanic,0.000800280055388278,6.51409945013059,1.00522671573781,1.00458940233124,1.00609176906046
levelOthers,0.00499356319024504,6.51409945013059,1.03306340448415,1.02965249291144,1.0364856153232
levelWhite,0.000512971053583816,6.51409945013059,1.00334713364153,1.00248444019903,1.00421056947957
