rn,coef,exp(coef),se(coef),robust se,z,Pr(>|z|),IQRunit,HR_IQR,HR_lci,HR_uci
pm25,0.00509749367125637,1.0051105079962,0.000141389240566664,0.000140888157726365,36.1811365377976,1.20553604949445e-286,3.70097855757737,1.0190447967689,1.01800387401338,1.02008678388205
no2,0.00155406719151226,1.00155527537972,4.21785460518896e-05,4.20773278325079e-05,36.9335999115331,1.33550793243966e-298,13.1371080811941,1.02062577967384,1.01952059390113,1.02173216349552
ozone_summer,0.000597386250540794,1.00059756472124,6.3714530791556e-05,6.37019458814291e-05,9.37783363247227,6.73421027483526e-21,6.40478869225973,1.00383346169235,1.00303104194357,1.00463652337286
