rn,HR,HR_lci_bootstrap,HR_uci_bootstrap
levelBlack,1.13557839586694,1.12362444179899,1.14765952500562
levelHispanic,1.08175148663693,1.07041852700548,1.09320443295654
levelOthers,1.02251877678818,1.01175497348246,1.033397093454
levelWhite,1.09066511219245,1.07918394919911,1.10226842035278
