rn,HR,HR_lci_bootstrap,HR_uci_bootstrap
levelBlack,1.01599440983698,1.009677623946,1.02235071505873
levelHispanic,1.01912807301268,1.0128191858375,1.02547625847323
levelOthers,1.04937370967822,1.04284939322581,1.05593884382248
levelWhite,1.02164036604821,1.01528847731002,1.02803199372902
