rn,HR,HR_lci_bootstrap,HR_uci_bootstrap
levelBlack,1.01598821601451,1.00874122026424,1.02328727561065
levelHispanic,1.0198335227587,1.01259513485925,1.02712365321308
levelOthers,1.05799035677644,1.05044376174853,1.06559116803047
levelWhite,1.03279672649821,1.02542983643999,1.04021654174663
