"","pm25","no2","ozone","ozone_summer","ox","summer_tmmx","winter_tmmx","summer_rmax","winter_rmax","mean_bmi","smoke_rate","medhouseholdincome","medianhousevalue","poverty","education","pct_owner_occ","hispanic","pct_blk","popdensity"
"mean",10.1776248583094,19.3999440836048,38.6292738048799,44.8273773038829,32.1381157052812,303.058342009061,281.935548117763,88.0085163488651,84.7917233677384,27.4758088673904,0.464317730883823,53360.1431120044,198443.578817393,0.0970700994256234,0.252786573902677,0.672458184836083,0.114211774784368,0.12757489268777,3389.49782524256
"sd",2.8722233305631,9.84261643331299,3.93405923997268,5.74787880252069,3.83138692400083,3.41414706007614,7.28936611665127,10.7946406688156,7.49354785479039,0.950852351897613,0.0674861499118768,22525.3461497725,156590.53792615,0.0666615151104243,0.143112670335284,0.162232743348383,0.166090687226794,0.191722057661823,9143.46526011311
"0percentile",0.00783037998061518,0.0108124818601045,19.1078277228841,19.6975475458955,18.4062840291884,287.996203878652,260.387595943092,22.357636368793,35.7923885769314,20.7,0,0,0,0,0,0,0,0,0
"25percentile",8.22382174568908,11.6870448723713,36.5484305046928,41.7555041056942,29.5463369884232,300.645214146803,276.231933716751,85.0983212623324,80.9052810686526,26.8470031152648,0.421957276276336,37797.9393939394,98822.2222222222,0.0536054675576358,0.144829142493089,0.58999894481376,0.0203585322859374,0.0137053969781627,190.6841
"50percentile",10.0270339842795,17.5453689781312,38.6553868884614,44.801769800292,31.8477545094542,302.873705816046,280.820045408445,90.3980827668016,85.809343041314,27.4197970588235,0.46484375,47977.6666666667,149100,0.0801282051282051,0.227970974612004,0.699979820162744,0.0490752712350329,0.0461208269936592,1003.9006
"75percentile",12.0978763600403,25.6041033280882,40.6831714020211,48.2696035558248,34.3704271864175,305.389234416177,287.433120819269,94.7678748090318,89.9707635757206,28.042238372093,0.505050505050505,63537.5,238500,0.121314644755921,0.33655145068662,0.786021030183817,0.127944185070556,0.14958341902263,3258.33533333333
"100percentile",29.5275661737535,127.626410809231,65.0896682941457,80.5518892345136,69.6002767392648,317.073376862899,300.643172761743,100,100,43.065,1,250001,2000001,1,1,1,1,1,153843.502534113
