rn,HR,HR_lci_bootstrap,HR_uci_bootstrap
levelBlack,1.06027933372494,1.05077553985453,1.06986908515194
levelHispanic,1.06185673876066,1.05234487704265,1.07145457563312
levelOthers,1.0240420563946,1.01486307467814,1.03330405788728
levelWhite,1.03509129019028,1.02581326887446,1.04445322705111
