rn,coef,IQRunit,HR_IQR,HR_lci,HR_uci
levelFALSE,0.0003681188,6.545357611,1.0024123743,1.0014077293,1.0034180273
levelTRUE,0.0002411966,6.545357611,1.0015799651,1.000638379,1.0025224372
